PIOTRD4,PIOTRD5,PIOTRD6,PIOTRD7,MGOT1,MGOT2,MGOT3,MGOT4,MGOT5,MGOT6,MGOT7,GBROT1,GBROT2,GBROT3,GBROT4,GBROT5,GBROT6,GBROT7,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,CATOT1,CATOT2,CATOT3,IND1,IND2,IND3,IND4,COOP1,COOP2,COOP3,COOP4,COOP5,COOP6,COOP7,COOP8,COOP9,COOP10,COOP11,COOP12,COOP13
3,3,4,4,6,6,5,6,4,5,3,5,3,4,3,3,2,4,6,5,3,5,5,5,5,4,5,6,6,4,5,7,3,6,3,3,6,6,6,4,5,3,6,5
4,5,2,2,5,7,2,2,4,2,4,6,3,1,5,2,4,6,6,5,6,4,7,6,6,5,5,6,4,3,4,6,6,4,2,2,6,6,6,6,5,6,6,6
6,6,6,6,7,7,7,4,4,4,4,6,4,4,4,4,3,3,6,6,6,6,6,6,6,6,6,6,6,3,3,6,6,6,2,4,7,7,7,7,6,7,7,7
5,6,6,4,7,6,3,3,2,7,6,4,3,3,5,2,4,4,7,6,5,4,4,3,6,2,5,6,6,6,6,7,6,2,2,5,6,7,3,6,6,6,6,6
6,6,6,6,6,6,5,4,2,5,5,5,4,4,4,4,3,5,5,5,7,5,4,5,6,5,5,6,6,6,7,7,5,4,2,5,4,6,6,6,6,6,5,6
6,6,6,6,7,7,7,6,6,5,6,7,5,5,1,5,2,4,5,7,5,6,7,6,7,7,7,6,7,5,7,7,3,2,3,6,7,7,7,7,7,7,7,7
5,4,4,4,3,4,3,3,3,5,5,4,4,5,3,5,4,3,3,4,4,4,3,4,4,4,4,4,5,4,4,4,4,3,5,4,5,5,4,4,4,4,4,4
5,5,6,5,6,5,6,5,4,6,5,4,3,5,5,4,2,4,5,5,4,4,4,5,5,5,4,6,6,4,5,6,6,5,2,3,6,6,6,5,5,5,5,5
5,4,5,4,6,5,5,4,5,5,5,7,4,3,4,3,5,6,5,5,5,5,6,5,5,5,5,6,6,5,5,5,5,5,2,4,5,5,6,6,6,5,6,3
6,5,4,5,7,4,6,5,5,5,6,7,4,4,4,3,4,5,4,3,3,3,2,3,5,5,6,6,6,6,4,6,6,4,1,6,6,7,7,7,7,5,5,5
6,6,6,6,6,6,6,5,6,6,4,5,5,5,2,4,2,4,5,6,6,4,6,5,5,4,4,6,6,5,5,5,3,4,4,5,6,6,6,6,6,5,6,4
5,4,4,4,5,5,6,2,3,5,4,6,4,4,4,4,7,7,5,6,6,5,6,5,6,6,6,4,4,6,6,6,1,4,4,6,6,7,7,7,6,7,7,7
4,3,4,4,6,6,6,5,3,4,5,7,3,3,5,6,2,6,6,5,4,4,3,3,6,6,6,6,7,5,6,6,4,2,5,5,5,6,6,5,6,6,6,5
2,4,4,2,5,6,6,5,5,6,4,3,3,4,4,5,3,5,4,5,5,5,4,5,6,5,5,6,5,5,4,6,5,5,2,4,5,5,6,6,6,5,5,4
7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7,1,1,5,6,7,7,7,7,7,7,7,7,7,7,4,7,4,1,7,7,7,7,7,7,7,4,7,7
5,4,6,5,6,6,4,4,4,5,4,5,4,4,3,2,4,5,5,5,4,4,2,5,6,6,5,4,3,3,5,5,4,3,5,6,6,6,4,6,6,4,4,5
